GEOID_T,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
34003017400,4.832499037,4.4,20.07808143,5.6,1.9,20,25.81491195,7.8,2.398215282,5.124680935,30.40464593,6.548279689,0,1.05967652,6.1,2.697639565
42029302802,3.760869565,4,13.40872375,2,0.7,28.6,21.86956522,9.1,0.915455035,0,4.869565217,8.025682183,0,0,3.7,0
51550021401,10.08704557,4.7,12.40544629,10.4,7.7,8.7,24.4203256,12.6,3.63086233,3.363587827,32.11642822,0,5.6,0,1.4,1.726689689
37063001806,21.37788672,3.5,35.82927742,8.4,7.3,11.7,26.51270804,10.5,4.867090977,0.7565337,64.90775384,0,0,2.20891052,0.6,0.193523416
24033805909,15.72456321,5.7,45.7113508,12.2,12.8,8.7,16.44398767,7.6,6.67693888,7.774158523,84.17266187,80.47307499,0,7.395993837,24.9,0.041109969
39149972100,19.36968839,4.1,14.88533103,8.4,3,18.5,21.27957932,15.7,5.495456512,0.209643606,5.503943909,4.972155927,1.8,0.908697534,1.7,0
42055011900,12.24279835,4.4,14.07232704,12.4,8,19.2,19.95012469,15.7,1.022012579,0,14.65454012,0,4.8,2.083333333,3.7,0.190699721
18097390602,22.70341207,5.2,40.62326099,3.3,6.1,21.8,13.77517869,13.3,6.566499722,0,54.74333983,48.48966614,0,0,8.6,0.974658869
17031829302,46.3008463,11.4,48.01381693,19.3,17.1,12.1,24.75350285,15.1,23.22970639,5.342501984,92.08614427,13.8803681,4,3.454231434,11.8,5.215360664
28035010601,29.4380766,3.9,23.93107849,6.4,8.9,19.8,17.02544031,26.6,6.126356094,0,6.038579815,0,31.4,4.020421187,2.8,0
6037501503,21.06394412,4.2,39.32893289,9,3.8,11.1,25.32688519,6.9,11.49614961,3.255457679,80.97796883,21.73017508,0,7.920792079,6.7,0
48085031713,18.73055383,3,22.64974217,2.1,14.6,2.8,19.51877204,3.2,14.59738199,7.007708479,68.45052894,74.73794549,0,3.21301071,3.3,0
26091060302,14.23194542,6.3,18.83671291,5.9,3.2,24.1,14.89311722,15.6,4.322305229,1.299019608,8.527131783,2.936630603,3.8,0.053361793,5.3,0
30111001703,24.98098859,0.8,24.4181751,2.8,4.9,20.1,15.28301887,11.1,6.42777983,0,7.226415094,9.173989455,10.3,1.920945696,1.7,0.320754717
13013180105,9.468822171,3.9,11.4790287,15.7,16.7,13.5,22.33586275,13.7,3.311258278,5.349079542,28.53843616,0,8.7,3.53200883,5,0
1117030613,13.35074512,4.3,15.76373213,4.9,5,12.4,23.24473806,12.9,8.35214447,0,26.91657705,1.203912716,1.1,0,0,0
47113001700,12.47086247,0,24.29906542,8.9,5.1,16,14.56876457,12.2,2.647975078,0,33.33333333,0.693481276,10.8,2.803738318,2.6,0
36059416802,9.353259469,2.7,33.8671691,6.1,3.9,20,8.554496264,13.5,2.826189355,1.682881935,21.28317444,58.42839037,0,1.177578898,15.2,0
17031803200,6.572572151,3,26.51933702,3.7,4.8,31,19.99212133,16,0.598526703,0.856793146,12.44829624,29.98317914,0,0,20.2,6.795351586
13135050590,26.09714529,1.7,33.94160584,25,20.5,6.2,25.43672774,6.9,0,17.08519127,86.21644653,0,0,3.211678832,0,0.042607584
42107001600,17.97985017,4.1,19.58041958,7.3,2.4,22.7,16.97141386,15.6,5.594405594,0.081989615,3.244913727,2.149382053,5.3,0.466200466,4.2,0
47051960402,11.70772211,4.2,16.95129665,7.1,9.3,18.7,16.99380165,20.8,4.174573055,0.238980351,7.670454545,3.370194839,4,0,3.4,3.641528926
12057010810,16.03797793,1.5,32.44254409,5,10.3,6.4,17.93687452,7.7,10.79636558,5.69603407,56.99255838,68.34951456,0,6.734366649,5.2,0
1051030902,31.35815417,2.3,35.93045718,17.7,10.5,18.2,19.96943454,16.1,4.700579524,0.995694295,37.77381559,0,29.9,1.416613007,6.8,2.852776363
17031801000,5.253974409,5.6,20.18561485,0.9,0.9,23.7,23.74951532,10.4,1.113689095,1.178947368,21.59751842,16.86586985,0,0,8,0
17179021203,13.61710324,5.9,15.17113784,5.8,3,14.7,25.35741159,8,8.279370953,0.079792539,11.21143717,5.608283003,0.2,0.092506938,2.5,1.881113619
22099020602,31.35442588,2.3,19.95738636,14.3,9.9,27.6,11.59267089,12.6,4.900568182,0,66.70190275,0,11.3,0.852272727,8.2,0
12075970400,35.11182109,6.3,20.20033389,12.5,13.9,25.4,21.14467409,19.8,5.592654424,0,5.691573927,4.379562044,30.9,3.088480801,4.4,0.476947536
37045950101,36.4213672,5.1,22.0713073,18.7,10.9,13,23.1510658,13.8,2.20713073,0.03866976,10.37998146,0,30.5,1.810979061,14.3,0
13121010306,3.70198982,3,21.76578786,4.9,10.7,9.5,30.61082832,4.4,18.14837523,0,93.03563165,0,0,0,0,0
13071970400,48.25511432,7.8,25.84745763,16.7,24,9.4,33.31490185,9.6,13.66525424,7.368744243,54.29914294,0,48,8.474576271,12.3,7.934752557
8013013705,21.13702624,1.5,32.20338983,0.8,18.7,5.5,15.59766764,4.3,3.919491525,0.403632694,15.6462585,0.696055684,0,0,4.3,0.048590865
4027011123,32.05673759,15.2,23.30827068,21.4,11.3,46.5,12.55319149,19.3,0,1.70212766,26.31205674,0,59.7,3.157894737,6.2,0.992907801
